City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jakar,BT,2022-06-07 20:42:08,27.5492,90.7525,58.06,99,100,1.77
1,Necochea,AR,2022-06-07 20:42:08,-38.5473,-58.7368,57.11,56,88,12.24
2,Busselton,AU,2022-06-07 20:42:09,-33.65,115.3333,56.86,54,100,18.48
3,Wilmington,US,2022-06-07 20:41:07,34.2257,-77.9447,85.91,68,40,11.5
4,Seymchan,RU,2022-06-07 20:42:09,62.8833,152.4333,49.96,42,39,9.48
5,Avarua,CK,2022-06-07 20:42:10,-21.2078,-159.775,78.85,73,40,10.36
6,Henties Bay,NA,2022-06-07 20:42:12,-22.116,14.2845,70.86,38,0,7.85
7,Corralillo,CU,2022-06-07 20:42:12,22.9819,-80.5856,77.9,87,100,9.33
8,Cape Town,ZA,2022-06-07 20:42:13,-33.9258,18.4232,67.37,61,0,1.14
9,Tres Arroyos,AR,2022-06-07 20:42:14,-38.3739,-60.2798,58.03,49,100,13.33
10,Mataura,NZ,2022-06-07 20:42:14,-46.1927,168.8643,45.48,94,12,3.33
11,Paso De Carrasco,UY,2022-06-07 20:42:14,-34.8603,-56.0522,51.94,87,100,6.91
12,Keetmanshoop,NA,2022-06-07 20:42:15,-26.5833,18.1333,58.75,33,0,13.2
13,El Refugio,MX,2022-06-07 20:42:15,20.6667,-103.7333,93.96,21,5,3.8
14,Upernavik,GL,2022-06-07 20:42:15,72.7868,-56.1549,33.49,74,63,4.41
15,Broken Hill,AU,2022-06-07 20:42:16,-31.95,141.4333,48.74,60,98,7.23
16,Los Llanos De Aridane,ES,2022-06-07 20:42:16,28.6585,-17.9182,67.12,87,0,17.27
17,Umm Lajj,SA,2022-06-07 20:42:17,25.0213,37.2685,85.68,46,2,9.48
18,Egvekinot,RU,2022-06-07 20:42:17,66.3167,-179.1667,41.52,47,70,5.61
19,Qaanaaq,GL,2022-06-07 20:42:18,77.484,-69.3632,30.67,89,68,3.74
20,Salalah,OM,2022-06-07 20:42:18,17.0151,54.0924,84.29,79,75,9.22
21,Mayo,US,2022-06-07 20:42:18,38.8876,-76.5119,78.19,81,75,16.11
22,Nakskov,DK,2022-06-07 20:42:19,54.8373,11.1284,57.15,80,21,21.7
23,Road Town,VG,2022-06-07 20:42:19,18.4167,-64.6167,86.04,66,40,9.22
24,Hithadhoo,MV,2022-06-07 20:42:19,-0.6,73.0833,82.6,68,100,4.99
25,Kavieng,PG,2022-06-07 20:42:20,-2.5744,150.7967,81.66,76,98,9.35
26,Ranong,TH,2022-06-07 20:40:13,9.9658,98.6348,79.39,82,100,5.32
27,Evensk,RU,2022-06-07 20:42:20,61.95,159.2333,50.59,73,100,11.48
28,Hualmay,PE,2022-06-07 20:42:20,-11.0964,-77.6139,68.38,73,9,10.56
29,San Cristobal,VE,2022-06-07 20:42:20,7.7669,-72.225,78.98,55,38,4.12
30,Katsuura,JP,2022-06-07 20:42:21,35.1333,140.3,62.64,88,100,15.03
31,Bluff,NZ,2022-06-07 20:42:21,-46.6,168.3333,45.81,83,10,13.65
32,Uvira,CD,2022-06-07 20:42:21,-3.4067,29.1458,72.7,78,98,4.41
33,Ponta Do Sol,PT,2022-06-07 20:42:22,32.6667,-17.1,74.03,75,0,2.57
34,Macusani,PE,2022-06-07 20:42:22,-14.0833,-70.4333,46.11,49,20,3.6
35,Mar Del Plata,AR,2022-06-07 20:39:44,-38.0023,-57.5575,61.95,55,0,13.8
36,Surt,LY,2022-06-07 20:42:23,31.2089,16.5887,76.01,72,0,1.81
37,Half Moon Bay,US,2022-06-07 20:42:23,37.4636,-122.4286,85.53,70,75,25.32
38,Tiksi,RU,2022-06-07 20:42:23,71.6872,128.8694,38.32,89,43,6.64
39,Hermanus,ZA,2022-06-07 20:42:23,-34.4187,19.2345,66.09,45,1,8.97
40,Coquimbo,CL,2022-06-07 20:42:24,-29.9533,-71.3436,58.73,77,0,12.66
41,Geraldton,AU,2022-06-07 20:42:24,-28.7667,114.6,66.61,34,100,25.32
42,Yellowknife,CA,2022-06-07 20:38:07,62.456,-114.3525,73.92,27,75,8.05
43,Baie-Comeau,CA,2022-06-07 20:39:32,49.2168,-68.1489,56.88,47,40,18.41
44,Jalu,LY,2022-06-07 20:42:24,29.0331,21.5482,84.2,33,0,13.42
45,Ushuaia,AR,2022-06-07 20:40:02,-54.8,-68.3,44.26,57,20,12.66
46,Porto Velho,BR,2022-06-07 20:42:25,-8.7619,-63.9039,87.85,58,40,5.75
47,Lebu,CL,2022-06-07 20:42:25,-37.6167,-73.65,54.14,93,44,2.73
48,Jieshi,CN,2022-06-07 20:43:25,22.8134,115.8257,78.04,87,100,0.69
49,Salekhard,RU,2022-06-07 20:43:26,66.53,66.6019,54.09,46,12,8.68
50,Barrow,US,2022-06-07 20:43:26,71.2906,-156.7887,24.82,86,100,16.11
51,Zhaoyuan,CN,2022-06-07 20:43:26,37.3592,120.3964,58.68,83,73,4.97
52,Hervey Bay,AU,2022-06-07 20:43:27,-25.2986,152.8535,50.02,79,17,3.0
53,New Norfolk,AU,2022-06-07 20:43:27,-42.7826,147.0587,42.3,83,87,1.01
54,Rikitea,PF,2022-06-07 20:43:28,-23.1203,-134.9692,72.43,54,2,13.78
55,Valparaiso,CL,2022-06-07 20:43:25,-33.0393,-71.6273,64.63,79,0,9.22
56,Arlit,NE,2022-06-07 20:43:28,18.7369,7.3853,91.78,11,87,9.98
57,Kamaishi,JP,2022-06-07 20:43:28,39.2667,141.8833,51.64,89,100,6.82
58,Ostrow Mazowiecka,PL,2022-06-07 20:43:29,52.8024,21.8951,61.11,94,97,3.56
59,Bambanglipuro,ID,2022-06-07 20:43:29,-7.95,110.2833,75.94,87,53,3.71
60,Igrim,RU,2022-06-07 20:43:29,63.1906,64.4162,47.41,64,0,5.7
61,Klaksvik,FO,2022-06-07 20:43:30,62.2266,-6.589,47.32,73,100,17.47
62,Kruisfontein,ZA,2022-06-07 20:43:30,-34.0033,24.7314,60.89,36,0,6.58
63,Banjar,ID,2022-06-07 20:43:30,-8.19,114.9675,77.59,90,99,3.33
64,Thompson,CA,2022-06-07 20:43:31,55.7435,-97.8558,66.36,34,40,8.05
65,Porto Novo,BJ,2022-06-07 20:43:31,6.4965,2.6036,82.22,76,23,8.23
66,Waipawa,NZ,2022-06-07 20:43:31,-41.4122,175.5153,52.9,84,12,12.91
67,Lavrentiya,RU,2022-06-07 20:43:32,65.5833,-171.0,42.1,67,43,0.85
68,Vaini,TO,2022-06-07 20:43:32,-21.2,-175.2,75.36,73,20,10.36
69,Bethel,US,2022-06-07 20:43:32,41.3712,-73.414,75.02,70,100,4.0
70,Axim,GH,2022-06-07 20:43:32,4.8699,-2.2405,79.02,77,31,9.06
71,Carnarvon,AU,2022-06-07 20:43:33,-24.8667,113.6333,71.01,75,100,22.64
72,Inirida,CO,2022-06-07 20:43:33,3.8653,-67.9239,80.24,92,45,2.33
73,Hobart,AU,2022-06-07 20:43:33,-42.8794,147.3294,42.66,82,75,11.5
74,Chicama,PE,2022-06-07 20:43:34,-7.8447,-79.1469,64.94,65,15,8.5
75,Mahebourg,MU,2022-06-07 20:43:34,-20.4081,57.7,72.25,83,75,3.44
76,Tarauaca,BR,2022-06-07 20:43:34,-8.1614,-70.7656,75.49,92,95,0.16
77,Kill,IE,2022-06-07 20:43:34,52.1761,-7.335,57.81,97,100,12.66
78,Airai,TL,2022-06-07 20:43:35,-8.9266,125.4092,58.66,88,100,3.13
79,Monywa,MM,2022-06-07 20:43:35,22.1167,95.1333,82.96,69,100,12.68
80,Punta Arenas,CL,2022-06-07 20:39:36,-53.15,-70.9167,44.71,65,75,9.22
81,Santo Tomas,PH,2022-06-07 20:43:35,14.1079,121.1414,80.85,92,92,1.63
82,Moron,AR,2022-06-07 20:43:36,-34.6534,-58.6198,53.06,68,65,3.94
83,Nouadhibou,MR,2022-06-07 20:43:36,20.931,-17.0347,67.98,83,43,14.97
84,Lagoa,PT,2022-06-07 20:43:36,39.05,-27.9833,64.67,94,100,18.39
85,Port Alfred,ZA,2022-06-07 20:43:37,-33.5906,26.891,64.22,58,22,11.21
86,Vestmannaeyjar,IS,2022-06-07 20:43:37,63.4427,-20.2734,50.27,87,100,22.28
87,Kapaa,US,2022-06-07 20:43:37,22.0752,-159.319,81.12,77,20,12.66
88,Havoysund,NO,2022-06-07 20:43:37,70.9963,24.6622,44.83,84,100,31.61
89,Papara,BR,2022-06-07 20:43:38,-3.9839,-38.7273,80.69,88,90,2.39
90,Cidreira,BR,2022-06-07 20:43:38,-30.1811,-50.2056,63.32,82,97,7.45
91,East London,ZA,2022-06-07 20:43:39,-33.0153,27.9116,63.28,58,17,6.38
92,Luderitz,NA,2022-06-07 20:43:39,-26.6481,15.1594,68.49,30,0,5.99
93,Jamestown,US,2022-06-07 20:42:19,42.097,-79.2353,66.94,75,100,3.44
94,Rawson,AR,2022-06-07 20:43:39,-43.3002,-65.1023,54.19,47,62,19.51
95,Hilo,US,2022-06-07 20:44:40,19.7297,-155.09,90.28,66,0,11.01
96,Diapaga,BF,2022-06-07 20:44:40,12.0708,1.7889,80.02,66,13,10.85
97,Provideniya,RU,2022-06-07 20:44:40,64.3833,-173.3,37.51,93,20,8.95
98,Kasongo-Lunda,CD,2022-06-07 20:44:40,-6.4667,16.8167,66.81,50,88,0.92
99,Imatra,FI,2022-06-07 20:44:41,61.1719,28.7524,55.78,64,8,5.12
100,Warrensburg,US,2022-06-07 20:44:41,38.7628,-93.7361,84.25,64,40,10.36
101,Butaritari,KI,2022-06-07 20:44:41,3.0707,172.7902,80.73,79,41,12.68
102,Albany,US,2022-06-07 20:43:23,42.6001,-73.9662,76.64,62,100,1.99
103,Puerto Madero,MX,2022-06-07 20:44:42,14.7208,-92.4215,82.4,70,85,4.7
104,Yarada,IN,2022-06-07 20:44:42,17.65,83.2667,84.52,94,75,2.3
105,Eyl,SO,2022-06-07 20:44:42,7.9803,49.8164,84.52,56,100,16.75
106,Meulaboh,ID,2022-06-07 20:44:43,4.1363,96.1285,77.43,83,100,4.32
107,Fairview,US,2022-06-07 20:44:43,40.8126,-73.999,77.56,66,0,17.27
108,Benguela,AO,2022-06-07 20:44:43,-12.5763,13.4055,73.15,60,65,3.18
109,Zhezkazgan,KZ,2022-06-07 20:44:43,47.8043,67.7144,73.36,20,59,5.08
110,Nanortalik,GL,2022-06-07 20:44:44,60.1432,-45.2371,41.31,82,96,5.82
111,College,US,2022-06-07 20:44:44,64.8569,-147.8028,73.09,32,20,8.05
112,Maceio,BR,2022-06-07 20:40:49,-9.6658,-35.7353,74.64,88,75,3.44
113,Marang,MY,2022-06-07 20:44:44,5.2056,103.2059,76.93,87,99,3.56
114,Arraial Do Cabo,BR,2022-06-07 20:44:45,-22.9661,-42.0278,73.36,73,0,9.22
115,Clarence Town,AU,2022-06-07 20:44:45,-32.5833,151.7833,48.61,72,0,12.41
116,Samarai,PG,2022-06-07 20:44:45,-10.6167,150.6667,81.79,77,90,8.59
117,Aksu,CN,2022-06-07 20:44:45,41.1231,80.2644,71.47,24,0,4.09
118,Navalmoral De La Mata,ES,2022-06-07 20:44:46,39.8916,-5.5406,75.09,31,27,7.25
119,Cabo San Lucas,MX,2022-06-07 20:44:36,22.8909,-109.9124,85.6,74,5,3.0
120,Verkhnevilyuysk,RU,2022-06-07 20:44:46,63.4453,120.3167,56.79,73,69,2.8
121,Atuona,PF,2022-06-07 20:44:46,-9.8,-139.0333,77.92,70,9,13.82
122,Saint-Philippe,RE,2022-06-07 20:44:47,-21.3585,55.7679,71.19,83,58,9.86
123,Bereda,ES,2022-06-07 20:44:47,43.2686,-7.5406,59.32,92,100,4.59
124,Pervomayskoye,RU,2022-06-07 20:44:47,43.919,46.7102,64.22,55,6,6.53
125,Castro,BR,2022-06-07 20:44:48,-24.7911,-50.0119,57.04,98,97,2.46
126,Georgetown,MY,2022-06-07 20:44:48,5.4112,100.3354,80.53,93,20,2.3
127,Rio Grande,BR,2022-06-07 20:44:48,-32.035,-52.0986,60.91,88,1,7.99
128,Fort Nelson,CA,2022-06-07 20:44:49,58.8053,-122.7002,63.99,63,75,8.05
129,Kotdwara,IN,2022-06-07 20:44:49,29.75,78.5333,85.86,18,2,6.89
130,Touros,BR,2022-06-07 20:44:49,-5.1989,-35.4608,77.16,78,100,9.24
131,Mount Gambier,AU,2022-06-07 20:44:49,-37.8333,140.7667,48.15,76,80,6.06
132,Solnechnyy,RU,2022-06-07 20:44:50,50.7214,136.6319,55.35,84,49,4.92
133,Talara,PE,2022-06-07 20:44:50,-4.5772,-81.2719,68.76,73,75,12.66
134,Torbay,CA,2022-06-07 20:43:19,47.6666,-52.7314,49.28,85,100,21.99
135,Robertsport,LR,2022-06-07 20:44:50,6.7533,-11.3686,78.66,77,29,9.26
136,Dikson,RU,2022-06-07 20:44:51,73.5069,80.5464,22.98,95,11,4.61
137,Kutum,SD,2022-06-07 20:45:51,14.2,24.6667,81.59,15,36,13.18
138,Jocon,HN,2022-06-07 20:45:51,15.2833,-86.9667,81.95,82,94,1.9
139,Worland,US,2022-06-07 20:45:51,44.0169,-107.9554,67.87,37,0,5.99
140,Waddan,LY,2022-06-07 20:45:52,29.1614,16.139,87.21,19,0,10.71
141,Avera,US,2022-06-07 20:45:52,33.194,-82.5271,90.55,52,93,4.03
142,Port Hardy,CA,2022-06-07 20:45:52,50.6996,-127.4199,62.78,63,75,4.61
143,Almaznyy,RU,2022-06-07 20:45:53,48.0448,40.045,60.24,70,49,6.22
144,Bom Jesus,BR,2022-06-07 20:45:53,-9.0744,-44.3586,84.24,35,26,4.76
145,Clyde River,CA,2022-06-07 20:45:53,70.4692,-68.5914,44.83,76,20,2.3
146,Tuatapere,NZ,2022-06-07 20:45:53,-46.1333,167.6833,47.12,87,44,3.22
147,Havelock,US,2022-06-07 20:45:54,34.8791,-76.9013,84.2,68,20,10.36
148,North Bend,US,2022-06-07 20:45:08,43.4065,-124.2243,64.85,85,100,12.66
149,Pevek,RU,2022-06-07 20:45:54,69.7008,170.3133,37.02,76,22,2.46
150,Namibe,AO,2022-06-07 20:45:54,-15.1961,12.1522,72.16,60,4,4.92
151,Camacha,PT,2022-06-07 20:45:54,33.0833,-16.3333,63.82,82,40,12.66
152,Tabuk,PH,2022-06-07 20:45:55,17.4189,121.4443,74.26,87,100,2.01
153,Hermiston,US,2022-06-07 20:44:04,45.8404,-119.2895,79.99,37,52,3.0
154,Knysna,ZA,2022-06-07 20:45:55,-34.0363,23.0471,65.82,41,0,5.7
155,Togur,RU,2022-06-07 20:45:55,58.3631,82.8265,36.39,85,5,5.57
156,Severo-Kurilsk,RU,2022-06-07 20:45:55,50.6789,156.125,44.51,85,95,9.26
157,Sioux Lookout,CA,2022-06-07 20:42:20,50.1001,-91.917,69.87,32,75,11.5
158,Srednekolymsk,RU,2022-06-07 20:45:56,67.45,153.6833,41.22,57,28,8.43
159,Chuy,UY,2022-06-07 20:45:56,-33.6971,-53.4616,55.2,92,5,5.3
160,Nishihara,JP,2022-06-07 20:45:56,26.1842,127.7558,74.48,94,100,3.44
161,Vao,NC,2022-06-07 20:45:57,-22.6667,167.4833,75.02,74,100,15.97
162,Pisco,PE,2022-06-07 20:45:57,-13.7,-76.2167,64.45,82,100,3.44
163,Bredasdorp,ZA,2022-06-07 20:45:57,-34.5322,20.0403,61.86,40,0,2.8
164,Aban,RU,2022-06-07 20:45:58,56.67,96.06,38.39,83,11,5.7
165,Poum,NC,2022-06-07 20:45:58,-20.2333,164.0167,76.71,77,100,18.03
166,Velikiy Ustyug,RU,2022-06-07 20:45:58,60.7644,46.3106,48.42,95,100,10.0
167,Sao Filipe,CV,2022-06-07 20:45:58,14.8961,-24.4956,75.04,76,3,10.87
168,Kupino,RU,2022-06-07 20:45:59,54.3663,77.2981,51.98,81,79,13.0
169,Bilibino,RU,2022-06-07 20:45:59,68.0546,166.4372,45.45,60,66,5.12
170,Rocha,UY,2022-06-07 20:45:59,-34.4833,-54.3333,53.64,89,8,4.07
171,Chokurdakh,RU,2022-06-07 20:45:59,70.6333,147.9167,39.99,55,10,12.01
172,Ithaki,GR,2022-06-07 20:46:00,38.3642,20.7185,73.11,83,82,6.24
173,Koutsouras,GR,2022-06-07 20:46:00,35.0339,25.9469,72.46,62,0,10.58
174,Ribeira Grande,PT,2022-06-07 20:46:01,38.5167,-28.7,66.6,94,75,19.57
175,Mosquera,CO,2022-06-07 20:45:36,4.7059,-74.2302,59.09,82,40,9.22
176,Oxapampa,PE,2022-06-07 20:46:01,-10.5775,-75.4017,63.52,95,79,1.79
177,Tuktoyaktuk,CA,2022-06-07 20:46:02,69.4541,-133.0374,33.8,75,100,12.66
178,La Ronge,CA,2022-06-07 20:45:07,55.1001,-105.2842,71.82,32,40,10.36
179,Gadung,PH,2022-06-07 20:46:02,6.8025,124.02,77.74,87,100,5.35
180,Tasiilaq,GL,2022-06-07 20:46:03,65.6145,-37.6368,42.96,65,97,1.21
181,San Luis,AR,2022-06-07 20:46:03,-33.295,-66.3356,61.45,38,6,3.85
182,Ampanihy,MG,2022-06-07 20:46:04,-24.7,44.75,63.36,87,5,10.16
183,Tual,ID,2022-06-07 20:46:04,-5.6667,132.75,82.45,72,56,4.88
184,Kavaratti,IN,2022-06-07 20:47:05,10.5669,72.642,82.81,73,100,13.78
185,Viedma,AR,2022-06-07 20:47:05,-40.8135,-62.9967,54.88,53,100,7.9
186,Olafsvik,IS,2022-06-07 20:47:05,64.8945,-23.7142,50.86,80,100,3.96
187,Sao Joao Da Barra,BR,2022-06-07 20:44:50,-21.6403,-41.0511,82.49,68,62,8.95
188,Walvis Bay,NA,2022-06-07 20:47:06,-22.9575,14.5053,74.35,27,0,13.8
